id,number,nationwide_number,name,sex,year_of_birth,nationality,military_civilian,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,mission_title,hours_mission,total_hrs_sum
1,1,1,"Gagarin, Yuri",male,1934,U.S.S.R/Russia,military,1960,1,1,pilot,1961,Vostok 1,1.77,1.77
2,2,2,"Titov, Gherman",male,1935,U.S.S.R/Russia,military,1960,1,1,pilot,1961,Vostok 2,25.0,25.3
3,3,1,"Glenn, John H., Jr.",male,1921,U.S.,military,1959,1,2,pilot,1962,MA-6,5.0,218.0
4,3,1,"Glenn, John H., Jr.",male,1921,U.S.,military,1959,2,2,PSP,1998,STS-95,213.0,218.0
5,4,2,"Carpenter, M. Scott",male,1925,U.S.,military,1959,1,1,Pilot,1962,Mercury-Atlas 7,5.0,5.0
6,5,2,"Nikolayev, Andriyan",male,1929,U.S.S.R/Russia,military,1960,1,2,pilot,1962,Vostok 3,94.0,519.33
7,5,2,"Nikolayev, Andriyan",male,1929,U.S.S.R/Russia,military,1960,2,2,pilot,1970,Soyuz 9,424.0,519.33
8,6,4,"Popovich, Pavel",male,1930,U.S.S.R/Russia,military,1960,1,2,pilot,1962,Vostok 4,70.93,448.45
9,6,4,"Popovich, Pavel",male,1930,U.S.S.R/Russia,military,1960,2,2,commander,1974,Soyuz 14,377.0,448.45
10,7,3,"Schirra, Walter M., Jr.",male,1923,U.S.,military,1959,1,3,pilot,1962,Mercury-Atlas 8,9.22,295.2
11,7,3,"Schirra, Walter M., Jr.",male,1923,U.S.,military,1959,2,3,commander,1965,Gemini 6A,25.87,295.2
12,7,3,"Schirra, Walter M., Jr.",male,1923,U.S.,military,1959,3,3,commander,1968,Apollo 7,260.13,295.2
13,8,4,"Cooper, L. Gordon, Jr.",male,1927,U.S.,military,1959,1,2,pilot,1963,Mercury-Atlas 9,34.32,225.0
14,8,4,"Cooper, L. Gordon, Jr.",male,1927,U.S.,military,1959,2,2,commander,1965,Gemini 5,191.92,225.0
15,9,5,"Bykovsky, Valery",male,1934,U.S.S.R/Russia,military,1960,1,3,pilot,1963,Vostok 5,119.13,497.8
16,9,5,"Bykovsky, Valery",male,1934,U.S.S.R/Russia,military,1960,2,3,commander,1976,Soyuz 22,189.0,497.8
17,9,5,"Bykovsky, Valery",male,1934,U.S.S.R/Russia,military,1960,3,3,commander,1978,Soyuz 31/29,188.0,497.8
